"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","07EB001",1945-10-01,"Flow",199,NA
"2","07EB001",1945-10-02,"Flow",208,NA
"3","07EB001",1945-10-03,"Flow",204,NA
"4","07EB001",1945-10-04,"Flow",197,NA
"5","07EB001",1945-10-05,"Flow",192,NA
"6","07EB001",1945-10-06,"Flow",194,NA
"7","07EB001",1945-10-07,"Flow",203,NA
"8","07EB001",1945-10-08,"Flow",209,NA
"9","07EB001",1945-10-09,"Flow",219,NA
"10","07EB001",1945-10-10,"Flow",221,NA
"11","07EB001",1945-10-11,"Flow",249,NA
"12","07EB001",1945-10-12,"Flow",277,NA
"13","07EB001",1945-10-13,"Flow",292,NA
"14","07EB001",1945-10-14,"Flow",303,NA
"15","07EB001",1945-10-15,"Flow",354,NA
"16","07EB001",1945-10-16,"Flow",530,NA
"17","07EB001",1945-10-17,"Flow",643,NA
"18","07EB001",1945-10-18,"Flow",631,NA
"19","07EB001",1945-10-19,"Flow",589,NA
"20","07EB001",1945-10-20,"Flow",544,NA
"21","07EB001",1945-10-21,"Flow",504,NA
"22","07EB001",1945-10-22,"Flow",464,NA
"23","07EB001",1945-10-23,"Flow",428,NA
"24","07EB001",1945-10-24,"Flow",396,NA
"25","07EB001",1945-10-25,"Flow",388,NA
"26","07EB001",1945-10-26,"Flow",368,NA
"27","07EB001",1945-10-27,"Flow",388,NA
"28","07EB001",1945-10-28,"Flow",345,"E"
"29","07EB001",1945-10-29,"Flow",300,"E"
"30","07EB001",1945-10-30,"Flow",258,NA
"31","07EB001",1945-10-31,"Flow",207,NA
"32","07EB001",1945-11-01,"Flow",201,NA
"33","07EB001",1945-11-02,"Flow",195,"E"
"34","07EB001",1945-11-03,"Flow",190,"E"
"35","07EB001",1945-11-04,"Flow",187,"E"
"36","07EB001",1945-11-05,"Flow",184,"E"
"37","07EB001",1945-11-06,"Flow",180,"E"
"38","07EB001",1945-11-07,"Flow",178,"E"
"39","07EB001",1945-11-08,"Flow",176,NA
"40","07EB001",1945-11-09,"Flow",NA,NA
"41","07EB001",1945-11-10,"Flow",NA,NA
"42","07EB001",1945-11-11,"Flow",NA,NA
"43","07EB001",1945-11-12,"Flow",NA,NA
"44","07EB001",1945-11-13,"Flow",NA,NA
"45","07EB001",1945-11-14,"Flow",NA,NA
"46","07EB001",1945-11-15,"Flow",NA,NA
"47","07EB001",1945-11-16,"Flow",NA,NA
"48","07EB001",1945-11-17,"Flow",NA,NA
"49","07EB001",1945-11-18,"Flow",NA,NA
"50","07EB001",1945-11-19,"Flow",NA,NA
"51","07EB001",1945-11-20,"Flow",NA,NA
"52","07EB001",1945-11-21,"Flow",NA,NA
"53","07EB001",1945-11-22,"Flow",NA,NA
"54","07EB001",1945-11-23,"Flow",NA,NA
"55","07EB001",1945-11-24,"Flow",NA,NA
"56","07EB001",1945-11-25,"Flow",NA,NA
"57","07EB001",1945-11-26,"Flow",NA,NA
"58","07EB001",1945-11-27,"Flow",NA,NA
"59","07EB001",1945-11-28,"Flow",NA,NA
"60","07EB001",1945-11-29,"Flow",NA,NA
"61","07EB001",1945-11-30,"Flow",NA,NA
"62","07EB001",1946-01-01,"Flow",NA,NA
"63","07EB001",1946-01-02,"Flow",NA,NA
"64","07EB001",1946-01-03,"Flow",NA,NA
"65","07EB001",1946-01-04,"Flow",NA,NA
"66","07EB001",1946-01-05,"Flow",NA,NA
"67","07EB001",1946-01-06,"Flow",NA,NA
"68","07EB001",1946-01-07,"Flow",NA,NA
"69","07EB001",1946-01-08,"Flow",NA,NA
"70","07EB001",1946-01-09,"Flow",NA,NA
"71","07EB001",1946-01-10,"Flow",NA,NA
"72","07EB001",1946-01-11,"Flow",NA,NA
"73","07EB001",1946-01-12,"Flow",NA,NA
