"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","07ED001",1938-06-01,"Flow",NA,NA
"2","07ED001",1938-06-02,"Flow",NA,NA
"3","07ED001",1938-06-03,"Flow",NA,NA
"4","07ED001",1938-06-04,"Flow",NA,NA
"5","07ED001",1938-06-05,"Flow",NA,NA
"6","07ED001",1938-06-06,"Flow",NA,NA
"7","07ED001",1938-06-07,"Flow",NA,NA
"8","07ED001",1938-06-08,"Flow",NA,NA
"9","07ED001",1938-06-09,"Flow",NA,NA
"10","07ED001",1938-06-10,"Flow",NA,NA
"11","07ED001",1938-06-11,"Flow",NA,NA
"12","07ED001",1938-06-12,"Flow",NA,NA
"13","07ED001",1938-06-13,"Flow",190,NA
"14","07ED001",1938-06-14,"Flow",NA,NA
"15","07ED001",1938-06-15,"Flow",NA,NA
"16","07ED001",1938-06-16,"Flow",NA,NA
"17","07ED001",1938-06-17,"Flow",NA,NA
"18","07ED001",1938-06-18,"Flow",NA,NA
"19","07ED001",1938-06-19,"Flow",NA,NA
"20","07ED001",1938-06-20,"Flow",NA,NA
"21","07ED001",1938-06-21,"Flow",NA,NA
"22","07ED001",1938-06-22,"Flow",NA,NA
"23","07ED001",1938-06-23,"Flow",NA,NA
"24","07ED001",1938-06-24,"Flow",NA,NA
"25","07ED001",1938-06-25,"Flow",NA,NA
"26","07ED001",1938-06-26,"Flow",NA,NA
"27","07ED001",1938-06-27,"Flow",NA,NA
"28","07ED001",1938-06-28,"Flow",NA,NA
"29","07ED001",1938-06-29,"Flow",NA,NA
"30","07ED001",1938-06-30,"Flow",NA,NA
"31","07ED001",1938-07-01,"Flow",NA,NA
"32","07ED001",1938-07-02,"Flow",NA,NA
"33","07ED001",1938-07-03,"Flow",NA,NA
"34","07ED001",1938-07-04,"Flow",NA,NA
"35","07ED001",1938-07-05,"Flow",NA,NA
"36","07ED001",1938-07-06,"Flow",NA,NA
"37","07ED001",1938-07-07,"Flow",NA,NA
"38","07ED001",1938-07-08,"Flow",NA,NA
"39","07ED001",1938-07-09,"Flow",NA,NA
"40","07ED001",1938-07-10,"Flow",NA,NA
"41","07ED001",1938-07-11,"Flow",NA,NA
"42","07ED001",1938-07-12,"Flow",NA,NA
"43","07ED001",1938-07-13,"Flow",NA,NA
"44","07ED001",1938-07-14,"Flow",NA,NA
"45","07ED001",1938-07-15,"Flow",72.5,NA
"46","07ED001",1938-07-16,"Flow",NA,NA
"47","07ED001",1938-07-17,"Flow",NA,NA
"48","07ED001",1938-07-18,"Flow",NA,NA
"49","07ED001",1938-07-19,"Flow",NA,NA
"50","07ED001",1938-07-20,"Flow",54.7000007629395,NA
"51","07ED001",1938-07-21,"Flow",NA,NA
"52","07ED001",1938-07-22,"Flow",NA,NA
"53","07ED001",1938-07-23,"Flow",NA,NA
"54","07ED001",1938-07-24,"Flow",NA,NA
"55","07ED001",1938-07-25,"Flow",NA,NA
"56","07ED001",1938-07-26,"Flow",NA,NA
"57","07ED001",1938-07-27,"Flow",NA,NA
"58","07ED001",1938-07-28,"Flow",NA,NA
"59","07ED001",1938-07-29,"Flow",NA,NA
"60","07ED001",1938-07-30,"Flow",NA,NA
"61","07ED001",1938-07-31,"Flow",NA,NA
"62","07ED001",1938-09-01,"Flow",NA,NA
"63","07ED001",1938-09-02,"Flow",NA,NA
"64","07ED001",1938-09-03,"Flow",NA,NA
"65","07ED001",1938-09-04,"Flow",NA,NA
"66","07ED001",1938-09-05,"Flow",NA,NA
"67","07ED001",1938-09-06,"Flow",NA,NA
"68","07ED001",1938-09-07,"Flow",12.8000001907349,NA
"69","07ED001",1938-09-08,"Flow",NA,NA
"70","07ED001",1938-09-09,"Flow",NA,NA
"71","07ED001",1938-09-10,"Flow",NA,NA
"72","07ED001",1938-09-11,"Flow",NA,NA
"73","07ED001",1938-09-12,"Flow",NA,NA
"74","07ED001",1938-09-13,"Flow",NA,NA
"75","07ED001",1938-09-14,"Flow",NA,NA
"76","07ED001",1938-09-15,"Flow",NA,NA
"77","07ED001",1938-09-16,"Flow",NA,NA
"78","07ED001",1938-09-17,"Flow",NA,NA
"79","07ED001",1938-09-18,"Flow",NA,NA
"80","07ED001",1938-09-19,"Flow",NA,NA
"81","07ED001",1938-09-20,"Flow",NA,NA
"82","07ED001",1938-09-21,"Flow",NA,NA
"83","07ED001",1938-09-22,"Flow",NA,NA
"84","07ED001",1938-09-23,"Flow",NA,NA
"85","07ED001",1938-09-24,"Flow",NA,NA
"86","07ED001",1938-09-25,"Flow",NA,NA
"87","07ED001",1938-09-26,"Flow",NA,NA
"88","07ED001",1938-09-27,"Flow",NA,NA
"89","07ED001",1938-09-28,"Flow",NA,NA
"90","07ED001",1938-09-29,"Flow",NA,NA
"91","07ED001",1938-09-30,"Flow",NA,NA
"92","07ED001",1939-06-01,"Flow",NA,NA
"93","07ED001",1939-06-02,"Flow",NA,NA
"94","07ED001",1939-06-03,"Flow",NA,NA
"95","07ED001",1939-06-04,"Flow",NA,NA
"96","07ED001",1939-06-05,"Flow",NA,NA
"97","07ED001",1939-06-06,"Flow",NA,NA
"98","07ED001",1939-06-07,"Flow",NA,NA
"99","07ED001",1939-06-08,"Flow",NA,NA
"100","07ED001",1939-06-09,"Flow",NA,NA
"101","07ED001",1939-06-10,"Flow",NA,NA
"102","07ED001",1939-06-11,"Flow",NA,NA
"103","07ED001",1939-06-12,"Flow",NA,NA
"104","07ED001",1939-06-13,"Flow",NA,NA
"105","07ED001",1939-06-14,"Flow",NA,NA
"106","07ED001",1939-06-15,"Flow",NA,NA
"107","07ED001",1939-06-16,"Flow",244,NA
"108","07ED001",1939-06-17,"Flow",NA,NA
"109","07ED001",1939-06-18,"Flow",NA,NA
"110","07ED001",1939-06-19,"Flow",NA,NA
"111","07ED001",1939-06-20,"Flow",NA,NA
"112","07ED001",1939-06-21,"Flow",NA,NA
"113","07ED001",1939-06-22,"Flow",NA,NA
"114","07ED001",1939-06-23,"Flow",NA,NA
"115","07ED001",1939-06-24,"Flow",NA,NA
"116","07ED001",1939-06-25,"Flow",NA,NA
"117","07ED001",1939-06-26,"Flow",NA,NA
"118","07ED001",1939-06-27,"Flow",NA,NA
"119","07ED001",1939-06-28,"Flow",NA,NA
"120","07ED001",1939-06-29,"Flow",162,NA
"121","07ED001",1939-06-30,"Flow",NA,NA
"122","07ED001",1939-07-01,"Flow",NA,NA
"123","07ED001",1939-07-02,"Flow",NA,NA
"124","07ED001",1939-07-03,"Flow",NA,NA
"125","07ED001",1939-07-04,"Flow",NA,NA
"126","07ED001",1939-07-05,"Flow",NA,NA
"127","07ED001",1939-07-06,"Flow",133,NA
"128","07ED001",1939-07-07,"Flow",NA,NA
"129","07ED001",1939-07-08,"Flow",NA,NA
"130","07ED001",1939-07-09,"Flow",NA,NA
"131","07ED001",1939-07-10,"Flow",NA,NA
"132","07ED001",1939-07-11,"Flow",120,NA
"133","07ED001",1939-07-12,"Flow",NA,NA
"134","07ED001",1939-07-13,"Flow",NA,NA
"135","07ED001",1939-07-14,"Flow",108,NA
"136","07ED001",1939-07-15,"Flow",NA,NA
"137","07ED001",1939-07-16,"Flow",NA,NA
"138","07ED001",1939-07-17,"Flow",84.0999984741211,NA
"139","07ED001",1939-07-18,"Flow",NA,NA
"140","07ED001",1939-07-19,"Flow",84.0999984741211,NA
"141","07ED001",1939-07-20,"Flow",NA,NA
"142","07ED001",1939-07-21,"Flow",NA,NA
"143","07ED001",1939-07-22,"Flow",NA,NA
"144","07ED001",1939-07-23,"Flow",92,NA
"145","07ED001",1939-07-24,"Flow",NA,NA
"146","07ED001",1939-07-25,"Flow",NA,NA
"147","07ED001",1939-07-26,"Flow",92,NA
"148","07ED001",1939-07-27,"Flow",92,NA
"149","07ED001",1939-07-28,"Flow",NA,NA
"150","07ED001",1939-07-29,"Flow",69.4000015258789,NA
"151","07ED001",1939-07-30,"Flow",NA,NA
"152","07ED001",1939-07-31,"Flow",NA,NA
"153","07ED001",1939-08-01,"Flow",NA,NA
"154","07ED001",1939-08-02,"Flow",NA,NA
"155","07ED001",1939-08-03,"Flow",NA,NA
"156","07ED001",1939-08-04,"Flow",NA,NA
"157","07ED001",1939-08-05,"Flow",NA,NA
"158","07ED001",1939-08-06,"Flow",NA,NA
"159","07ED001",1939-08-07,"Flow",44.2000007629395,NA
"160","07ED001",1939-08-08,"Flow",NA,NA
"161","07ED001",1939-08-09,"Flow",NA,NA
"162","07ED001",1939-08-10,"Flow",NA,NA
"163","07ED001",1939-08-11,"Flow",39.0999984741211,NA
"164","07ED001",1939-08-12,"Flow",NA,NA
"165","07ED001",1939-08-13,"Flow",NA,NA
"166","07ED001",1939-08-14,"Flow",NA,NA
"167","07ED001",1939-08-15,"Flow",NA,NA
"168","07ED001",1939-08-16,"Flow",NA,NA
"169","07ED001",1939-08-17,"Flow",NA,NA
"170","07ED001",1939-08-18,"Flow",NA,NA
"171","07ED001",1939-08-19,"Flow",NA,NA
"172","07ED001",1939-08-20,"Flow",NA,NA
"173","07ED001",1939-08-21,"Flow",NA,NA
"174","07ED001",1939-08-22,"Flow",NA,NA
"175","07ED001",1939-08-23,"Flow",NA,NA
"176","07ED001",1939-08-24,"Flow",NA,NA
"177","07ED001",1939-08-25,"Flow",NA,NA
"178","07ED001",1939-08-26,"Flow",NA,NA
"179","07ED001",1939-08-27,"Flow",NA,NA
"180","07ED001",1939-08-28,"Flow",NA,NA
"181","07ED001",1939-08-29,"Flow",NA,NA
"182","07ED001",1939-08-30,"Flow",NA,NA
"183","07ED001",1939-08-31,"Flow",NA,NA
"184","07ED001",1939-09-01,"Flow",24.2000007629395,NA
"185","07ED001",1939-09-02,"Flow",NA,NA
"186","07ED001",1939-09-03,"Flow",22.5,NA
"187","07ED001",1939-09-04,"Flow",NA,NA
"188","07ED001",1939-09-05,"Flow",NA,NA
"189","07ED001",1939-09-06,"Flow",NA,NA
"190","07ED001",1939-09-07,"Flow",NA,NA
"191","07ED001",1939-09-08,"Flow",NA,NA
"192","07ED001",1939-09-09,"Flow",15.3999996185303,NA
"193","07ED001",1939-09-10,"Flow",15,NA
"194","07ED001",1939-09-11,"Flow",NA,NA
"195","07ED001",1939-09-12,"Flow",NA,NA
"196","07ED001",1939-09-13,"Flow",NA,NA
"197","07ED001",1939-09-14,"Flow",NA,NA
"198","07ED001",1939-09-15,"Flow",NA,NA
"199","07ED001",1939-09-16,"Flow",NA,NA
"200","07ED001",1939-09-17,"Flow",NA,NA
"201","07ED001",1939-09-18,"Flow",NA,NA
"202","07ED001",1939-09-19,"Flow",NA,NA
"203","07ED001",1939-09-20,"Flow",NA,NA
"204","07ED001",1939-09-21,"Flow",NA,NA
"205","07ED001",1939-09-22,"Flow",NA,NA
"206","07ED001",1939-09-23,"Flow",NA,NA
"207","07ED001",1939-09-24,"Flow",NA,NA
"208","07ED001",1939-09-25,"Flow",NA,NA
"209","07ED001",1939-09-26,"Flow",NA,NA
