"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","07EE009",1975-06-01,"Flow",NA,NA
"2","07EE009",1975-06-02,"Flow",NA,NA
"3","07EE009",1975-06-03,"Flow",NA,NA
"4","07EE009",1975-06-04,"Flow",NA,NA
"5","07EE009",1975-06-05,"Flow",NA,NA
"6","07EE009",1975-06-06,"Flow",9.0600004196167,"A"
"7","07EE009",1975-06-07,"Flow",4.84000015258789,NA
"8","07EE009",1975-06-08,"Flow",4.28000020980835,NA
"9","07EE009",1975-06-09,"Flow",4.61999988555908,NA
"10","07EE009",1975-06-10,"Flow",4.69999980926514,NA
"11","07EE009",1975-06-11,"Flow",4.28000020980835,NA
"12","07EE009",1975-06-12,"Flow",4.28000020980835,NA
"13","07EE009",1975-06-13,"Flow",5.32000017166138,NA
"14","07EE009",1975-06-14,"Flow",4.92999982833862,NA
"15","07EE009",1975-06-15,"Flow",4.80999994277954,NA
"16","07EE009",1975-06-16,"Flow",5.34999990463257,NA
"17","07EE009",1975-06-17,"Flow",5.30000019073486,NA
"18","07EE009",1975-06-18,"Flow",4.5,NA
"19","07EE009",1975-06-19,"Flow",3.91000008583069,NA
"20","07EE009",1975-06-20,"Flow",3.84999990463257,NA
"21","07EE009",1975-06-21,"Flow",3.96000003814697,NA
"22","07EE009",1975-06-22,"Flow",3.71000003814697,NA
"23","07EE009",1975-06-23,"Flow",3.33999991416931,NA
"24","07EE009",1975-06-24,"Flow",3.23000001907349,NA
"25","07EE009",1975-06-25,"Flow",3.17000007629395,NA
"26","07EE009",1975-06-26,"Flow",2.89000010490417,NA
"27","07EE009",1975-06-27,"Flow",3,NA
"28","07EE009",1975-06-28,"Flow",6.94000005722046,NA
"29","07EE009",1975-06-29,"Flow",4.86999988555908,NA
"30","07EE009",1975-06-30,"Flow",3.65000009536743,NA
"31","07EE009",1975-07-01,"Flow",3.20000004768372,NA
"32","07EE009",1975-07-02,"Flow",2.78999996185303,NA
"33","07EE009",1975-07-03,"Flow",2.92000007629395,NA
"34","07EE009",1975-07-04,"Flow",2.65000009536743,NA
"35","07EE009",1975-07-05,"Flow",2.34999990463257,NA
"36","07EE009",1975-07-06,"Flow",2.02999997138977,NA
"37","07EE009",1975-07-07,"Flow",1.71000003814697,NA
"38","07EE009",1975-07-08,"Flow",1.48000001907349,NA
"39","07EE009",1975-07-09,"Flow",1.4099999666214,NA
"40","07EE009",1975-07-10,"Flow",1.51999998092651,NA
"41","07EE009",1975-07-11,"Flow",1.25999999046326,NA
"42","07EE009",1975-07-12,"Flow",1.12000000476837,NA
"43","07EE009",1975-07-13,"Flow",1.02999997138977,NA
"44","07EE009",1975-07-14,"Flow",0.922999978065491,NA
"45","07EE009",1975-07-15,"Flow",0.950999975204468,NA
"46","07EE009",1975-07-16,"Flow",1.57000005245209,NA
"47","07EE009",1975-07-17,"Flow",1.86000001430511,NA
"48","07EE009",1975-07-18,"Flow",1.5900000333786,NA
"49","07EE009",1975-07-19,"Flow",1.5,NA
"50","07EE009",1975-07-20,"Flow",1.48000001907349,NA
"51","07EE009",1975-07-21,"Flow",1.37999999523163,NA
"52","07EE009",1975-07-22,"Flow",1.28999996185303,NA
"53","07EE009",1975-07-23,"Flow",1.17999994754791,NA
"54","07EE009",1975-07-24,"Flow",1.08000004291534,NA
"55","07EE009",1975-07-25,"Flow",1.05999994277954,NA
"56","07EE009",1975-07-26,"Flow",1.07000005245209,NA
"57","07EE009",1975-07-27,"Flow",1.52999997138977,NA
"58","07EE009",1975-07-28,"Flow",4.21999979019165,NA
"59","07EE009",1975-07-29,"Flow",3.50999999046326,NA
"60","07EE009",1975-07-30,"Flow",2.92000007629395,NA
"61","07EE009",1975-07-31,"Flow",2.29999995231628,NA
"62","07EE009",1975-08-01,"Flow",2.01999998092651,NA
"63","07EE009",1975-08-02,"Flow",2.07999992370605,NA
"64","07EE009",1975-08-03,"Flow",1.91999995708466,NA
"65","07EE009",1975-08-04,"Flow",1.75,NA
"66","07EE009",1975-08-05,"Flow",1.64999997615814,NA
"67","07EE009",1975-08-06,"Flow",1.69000005722046,NA
"68","07EE009",1975-08-07,"Flow",1.74000000953674,NA
"69","07EE009",1975-08-08,"Flow",1.97000002861023,NA
"70","07EE009",1975-08-09,"Flow",2.40000009536743,NA
"71","07EE009",1975-08-10,"Flow",2.47000002861023,NA
"72","07EE009",1975-08-11,"Flow",2.53999996185303,NA
"73","07EE009",1975-08-12,"Flow",2.33999991416931,NA
"74","07EE009",1975-08-13,"Flow",1.98000001907349,NA
"75","07EE009",1975-08-14,"Flow",1.69000005722046,NA
"76","07EE009",1975-08-15,"Flow",1.5,NA
"77","07EE009",1975-08-16,"Flow",1.39999997615814,NA
"78","07EE009",1975-08-17,"Flow",1.83000004291534,NA
"79","07EE009",1975-08-18,"Flow",3.27999997138977,NA
"80","07EE009",1975-08-19,"Flow",3.40000009536743,NA
"81","07EE009",1975-08-20,"Flow",2.63000011444092,NA
"82","07EE009",1975-08-21,"Flow",2.47000002861023,NA
"83","07EE009",1975-08-22,"Flow",2.40000009536743,NA
"84","07EE009",1975-08-23,"Flow",3.4300000667572,NA
"85","07EE009",1975-08-24,"Flow",3.6800000667572,NA
"86","07EE009",1975-08-25,"Flow",3.5699999332428,NA
"87","07EE009",1975-08-26,"Flow",3.53999996185303,NA
"88","07EE009",1975-08-27,"Flow",3.23000001907349,NA
"89","07EE009",1975-08-28,"Flow",3.36999988555908,NA
"90","07EE009",1975-08-29,"Flow",3.10999989509583,NA
"91","07EE009",1975-08-30,"Flow",2.8199999332428,NA
