"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JA016",1976-09-01,"Flow",NA,NA
"2","08JA016",1976-09-02,"Flow",NA,NA
"3","08JA016",1976-09-03,"Flow",NA,NA
"4","08JA016",1976-09-04,"Flow",NA,NA
"5","08JA016",1976-09-05,"Flow",NA,NA
"6","08JA016",1976-09-06,"Flow",NA,NA
"7","08JA016",1976-09-07,"Flow",NA,NA
"8","08JA016",1976-09-08,"Flow",NA,NA
"9","08JA016",1976-09-09,"Flow",NA,NA
"10","08JA016",1976-09-10,"Flow",NA,NA
"11","08JA016",1976-09-11,"Flow",NA,NA
"12","08JA016",1976-09-12,"Flow",NA,NA
"13","08JA016",1976-09-13,"Flow",NA,NA
"14","08JA016",1976-09-14,"Flow",NA,NA
"15","08JA016",1976-09-15,"Flow",NA,NA
"16","08JA016",1976-09-16,"Flow",1.46000003814697,"A"
"17","08JA016",1976-09-17,"Flow",1.37000000476837,NA
"18","08JA016",1976-09-18,"Flow",1.1599999666214,NA
"19","08JA016",1976-09-19,"Flow",1.11000001430511,NA
"20","08JA016",1976-09-20,"Flow",1.03999996185303,NA
"21","08JA016",1976-09-21,"Flow",1.04999995231628,NA
"22","08JA016",1976-09-22,"Flow",1.20000004768372,NA
"23","08JA016",1976-09-23,"Flow",1.30999994277954,NA
"24","08JA016",1976-09-24,"Flow",1.35000002384186,NA
"25","08JA016",1976-09-25,"Flow",1.48000001907349,NA
"26","08JA016",1976-09-26,"Flow",1.58000004291534,NA
"27","08JA016",1976-09-27,"Flow",1.39999997615814,NA
"28","08JA016",1976-09-28,"Flow",1.30999994277954,NA
"29","08JA016",1976-09-29,"Flow",1.87000000476837,NA
"30","08JA016",1976-09-30,"Flow",1.26999998092651,NA
"31","08JA016",1976-10-01,"Flow",0.850000023841858,NA
"32","08JA016",1976-10-02,"Flow",0.869000017642975,NA
"33","08JA016",1976-10-03,"Flow",0.824000000953674,NA
"34","08JA016",1976-10-04,"Flow",0.783999979496002,NA
