"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JB002",1929-07-01,"Flow",NA,NA
"2","08JB002",1929-07-02,"Flow",NA,NA
"3","08JB002",1929-07-03,"Flow",NA,NA
"4","08JB002",1929-07-04,"Flow",NA,NA
"5","08JB002",1929-07-05,"Flow",NA,NA
"6","08JB002",1929-07-06,"Flow",NA,NA
"7","08JB002",1929-07-07,"Flow",NA,NA
"8","08JB002",1929-07-08,"Flow",NA,NA
"9","08JB002",1929-07-09,"Flow",NA,NA
"10","08JB002",1929-07-10,"Flow",NA,NA
"11","08JB002",1929-07-11,"Flow",NA,NA
"12","08JB002",1929-07-12,"Flow",NA,NA
"13","08JB002",1929-07-13,"Flow",NA,NA
"14","08JB002",1929-07-14,"Flow",NA,NA
"15","08JB002",1929-07-15,"Flow",NA,NA
"16","08JB002",1929-07-16,"Flow",NA,NA
"17","08JB002",1929-07-17,"Flow",NA,NA
"18","08JB002",1929-07-18,"Flow",NA,NA
"19","08JB002",1929-07-19,"Flow",NA,NA
"20","08JB002",1929-07-20,"Flow",NA,NA
"21","08JB002",1929-07-21,"Flow",NA,NA
"22","08JB002",1929-07-22,"Flow",NA,NA
"23","08JB002",1929-07-23,"Flow",NA,NA
"24","08JB002",1929-07-24,"Flow",NA,NA
"25","08JB002",1929-07-25,"Flow",NA,NA
"26","08JB002",1929-07-26,"Flow",NA,NA
"27","08JB002",1929-07-27,"Flow",NA,NA
"28","08JB002",1929-07-28,"Flow",NA,NA
"29","08JB002",1929-07-29,"Flow",20.7999992370605,NA
"30","08JB002",1929-07-30,"Flow",20.7999992370605,NA
"31","08JB002",1929-07-31,"Flow",21.8999996185303,NA
"32","08JB002",1929-08-01,"Flow",20.3999996185303,NA
"33","08JB002",1929-08-02,"Flow",20.3999996185303,NA
"34","08JB002",1929-08-03,"Flow",20.1000003814697,NA
"35","08JB002",1929-08-04,"Flow",19.8999996185303,NA
"36","08JB002",1929-08-05,"Flow",19.7000007629395,NA
"37","08JB002",1929-08-06,"Flow",18.6000003814697,NA
"38","08JB002",1929-08-07,"Flow",18.6000003814697,NA
"39","08JB002",1929-08-08,"Flow",18.3999996185303,NA
"40","08JB002",1929-08-09,"Flow",18.3999996185303,NA
"41","08JB002",1929-08-10,"Flow",18.2000007629395,NA
"42","08JB002",1929-08-11,"Flow",18,NA
"43","08JB002",1929-08-12,"Flow",18,NA
"44","08JB002",1929-08-13,"Flow",17.7999992370605,NA
"45","08JB002",1929-08-14,"Flow",17.7999992370605,NA
"46","08JB002",1929-08-15,"Flow",17.6000003814697,NA
"47","08JB002",1929-08-16,"Flow",17.6000003814697,NA
"48","08JB002",1929-08-17,"Flow",16.5,NA
"49","08JB002",1929-08-18,"Flow",16.2999992370605,NA
"50","08JB002",1929-08-19,"Flow",16.1000003814697,NA
"51","08JB002",1929-08-20,"Flow",15.8999996185303,NA
"52","08JB002",1929-08-21,"Flow",15.8999996185303,NA
"53","08JB002",1929-08-22,"Flow",15.8999996185303,NA
"54","08JB002",1929-08-23,"Flow",16.1000003814697,NA
"55","08JB002",1929-08-24,"Flow",15.8999996185303,NA
"56","08JB002",1929-08-25,"Flow",15.5,NA
"57","08JB002",1929-08-26,"Flow",15.5,NA
"58","08JB002",1929-08-27,"Flow",14.5,NA
"59","08JB002",1929-08-28,"Flow",14.5,NA
"60","08JB002",1929-08-29,"Flow",14.1999998092651,NA
"61","08JB002",1929-08-30,"Flow",14.1999998092651,NA
"62","08JB002",1929-08-31,"Flow",14,NA
"63","08JB002",1929-09-01,"Flow",14,NA
"64","08JB002",1929-09-02,"Flow",13.8000001907349,NA
"65","08JB002",1929-09-03,"Flow",13.8000001907349,NA
"66","08JB002",1929-09-04,"Flow",13.6000003814697,NA
"67","08JB002",1929-09-05,"Flow",13.6000003814697,NA
"68","08JB002",1929-09-06,"Flow",13.5,NA
"69","08JB002",1929-09-07,"Flow",12.5,NA
"70","08JB002",1929-09-08,"Flow",12.3000001907349,NA
"71","08JB002",1929-09-09,"Flow",12.1000003814697,NA
"72","08JB002",1929-09-10,"Flow",11.8999996185303,NA
"73","08JB002",1929-09-11,"Flow",11.8000001907349,NA
"74","08JB002",1929-09-12,"Flow",11.6000003814697,NA
"75","08JB002",1929-09-13,"Flow",10.6000003814697,NA
"76","08JB002",1929-09-14,"Flow",10.6000003814697,NA
"77","08JB002",1929-09-15,"Flow",10.5,NA
"78","08JB002",1929-09-16,"Flow",10.3000001907349,NA
"79","08JB002",1929-09-17,"Flow",10.3000001907349,NA
"80","08JB002",1929-09-18,"Flow",10.1000003814697,NA
"81","08JB002",1929-09-19,"Flow",10.1000003814697,NA
"82","08JB002",1929-09-20,"Flow",9.9399995803833,NA
"83","08JB002",1929-09-21,"Flow",9.9399995803833,NA
"84","08JB002",1929-09-22,"Flow",9.77000045776367,NA
"85","08JB002",1929-09-23,"Flow",9.77000045776367,NA
"86","08JB002",1929-09-24,"Flow",8.94999980926514,NA
"87","08JB002",1929-09-25,"Flow",8.94999980926514,NA
"88","08JB002",1929-09-26,"Flow",8.77999973297119,NA
"89","08JB002",1929-09-27,"Flow",8.77999973297119,NA
"90","08JB002",1929-09-28,"Flow",8.60999965667725,NA
"91","08JB002",1929-09-29,"Flow",8.60999965667725,NA
"92","08JB002",1929-09-30,"Flow",8.47000026702881,NA
"93","08JB002",1929-10-01,"Flow",8.01000022888184,NA
"94","08JB002",1929-10-02,"Flow",7.86999988555908,NA
"95","08JB002",1929-10-03,"Flow",7.19000005722046,NA
"96","08JB002",1929-10-04,"Flow",7.05000019073486,NA
"97","08JB002",1929-10-05,"Flow",6.90999984741211,NA
"98","08JB002",1929-10-06,"Flow",6.80000019073486,NA
"99","08JB002",1929-10-07,"Flow",6.65000009536743,NA
"100","08JB002",1929-10-08,"Flow",6.51000022888184,NA
"101","08JB002",1929-10-09,"Flow",5.94999980926514,NA
"102","08JB002",1929-10-10,"Flow",5.80000019073486,NA
"103","08JB002",1929-10-11,"Flow",5.69000005722046,NA
"104","08JB002",1929-10-12,"Flow",5.57999992370605,NA
"105","08JB002",1929-10-13,"Flow",5.57999992370605,NA
"106","08JB002",1929-10-14,"Flow",5.57999992370605,NA
"107","08JB002",1929-10-15,"Flow",5.46999979019165,NA
"108","08JB002",1929-10-16,"Flow",5.46999979019165,NA
"109","08JB002",1929-10-17,"Flow",5.46999979019165,NA
"110","08JB002",1929-10-18,"Flow",5.34999990463257,NA
"111","08JB002",1929-10-19,"Flow",4.86999988555908,NA
"112","08JB002",1929-10-20,"Flow",4.86999988555908,NA
"113","08JB002",1929-10-21,"Flow",5.34999990463257,NA
"114","08JB002",1929-10-22,"Flow",5.34999990463257,NA
"115","08JB002",1929-10-23,"Flow",5.34999990463257,NA
"116","08JB002",1929-10-24,"Flow",5.34999990463257,NA
"117","08JB002",1929-10-25,"Flow",4.86999988555908,NA
"118","08JB002",1929-10-26,"Flow",4.86999988555908,NA
"119","08JB002",1929-10-27,"Flow",4.78999996185303,NA
"120","08JB002",1929-10-28,"Flow",4.78999996185303,NA
"121","08JB002",1929-10-29,"Flow",4.67000007629395,NA
"122","08JB002",1929-10-30,"Flow",4.67000007629395,NA
"123","08JB002",1929-10-31,"Flow",4.59000015258789,NA
"124","08JB002",1929-11-01,"Flow",4.59000015258789,NA
"125","08JB002",1929-11-02,"Flow",4.59000015258789,NA
"126","08JB002",1929-11-03,"Flow",4.59000015258789,NA
"127","08JB002",1929-11-04,"Flow",4.67000007629395,NA
"128","08JB002",1929-11-05,"Flow",4.67000007629395,NA
"129","08JB002",1929-11-06,"Flow",4.78999996185303,NA
"130","08JB002",1929-11-07,"Flow",4.78999996185303,NA
"131","08JB002",1929-11-08,"Flow",4.78999996185303,NA
"132","08JB002",1929-11-09,"Flow",4.67000007629395,NA
"133","08JB002",1929-11-10,"Flow",4.59000015258789,NA
"134","08JB002",1929-11-11,"Flow",3.61999988555908,NA
"135","08JB002",1929-11-12,"Flow",4.05000019073486,NA
"136","08JB002",1929-11-13,"Flow",4.05000019073486,NA
"137","08JB002",1929-11-14,"Flow",4.59000015258789,NA
"138","08JB002",1929-11-15,"Flow",4.59000015258789,NA
"139","08JB002",1929-11-16,"Flow",4.46999979019165,NA
"140","08JB002",1929-11-17,"Flow",4.46999979019165,NA
"141","08JB002",1929-11-18,"Flow",4.05000019073486,NA
"142","08JB002",1929-11-19,"Flow",3.96000003814697,NA
"143","08JB002",1929-11-20,"Flow",3.96000003814697,NA
"144","08JB002",1929-11-21,"Flow",3.88000011444092,NA
"145","08JB002",1929-11-22,"Flow",3.78999996185303,NA
"146","08JB002",1929-11-23,"Flow",3.71000003814697,NA
"147","08JB002",1929-11-24,"Flow",3.71000003814697,NA
"148","08JB002",1929-11-25,"Flow",3.71000003814697,NA
"149","08JB002",1929-11-26,"Flow",3.88000011444092,NA
"150","08JB002",1929-11-27,"Flow",3.96000003814697,NA
"151","08JB002",1929-11-28,"Flow",4.05000019073486,NA
"152","08JB002",1929-11-29,"Flow",4.13000011444092,NA
"153","08JB002",1929-11-30,"Flow",4.13000011444092,NA
"154","08JB002",1929-12-01,"Flow",4.59000015258789,NA
"155","08JB002",1929-12-02,"Flow",4.13000011444092,NA
"156","08JB002",1929-12-03,"Flow",4.05000019073486,NA
"157","08JB002",1929-12-04,"Flow",3.96000003814697,NA
"158","08JB002",1929-12-05,"Flow",4.13000011444092,NA
"159","08JB002",1929-12-06,"Flow",4.21999979019165,NA
"160","08JB002",1929-12-07,"Flow",4.13000011444092,NA
"161","08JB002",1929-12-08,"Flow",3.96000003814697,NA
"162","08JB002",1929-12-09,"Flow",3.78999996185303,NA
"163","08JB002",1929-12-10,"Flow",3.40000009536743,NA
"164","08JB002",1929-12-11,"Flow",3.30999994277954,NA
"165","08JB002",1929-12-12,"Flow",3.17000007629395,NA
"166","08JB002",1929-12-13,"Flow",2.66000008583069,NA
"167","08JB002",1929-12-14,"Flow",2.60999989509583,NA
"168","08JB002",1929-12-15,"Flow",2.66000008583069,NA
"169","08JB002",1929-12-16,"Flow",3,NA
"170","08JB002",1929-12-17,"Flow",3.17000007629395,NA
"171","08JB002",1929-12-18,"Flow",3.17000007629395,NA
"172","08JB002",1929-12-19,"Flow",3.08999991416931,NA
"173","08JB002",1929-12-20,"Flow",3.08999991416931,NA
"174","08JB002",1929-12-21,"Flow",3.17000007629395,NA
"175","08JB002",1929-12-22,"Flow",3.17000007629395,NA
"176","08JB002",1929-12-23,"Flow",3.08999991416931,NA
"177","08JB002",1929-12-24,"Flow",3.17000007629395,NA
"178","08JB002",1929-12-25,"Flow",3.08999991416931,NA
"179","08JB002",1929-12-26,"Flow",3.08999991416931,NA
"180","08JB002",1929-12-27,"Flow",2.72000002861023,NA
"181","08JB002",1929-12-28,"Flow",2.72000002861023,NA
"182","08JB002",1929-12-29,"Flow",2.66000008583069,NA
"183","08JB002",1929-12-30,"Flow",2.66000008583069,NA
"184","08JB002",1929-12-31,"Flow",2.60999989509583,NA
"185","08JB002",1930-01-01,"Flow",2.54999995231628,NA
"186","08JB002",1930-01-02,"Flow",2.49000000953674,NA
"187","08JB002",1930-01-03,"Flow",2.46000003814697,NA
"188","08JB002",1930-01-04,"Flow",2.46000003814697,NA
"189","08JB002",1930-01-05,"Flow",2.77999997138977,NA
"190","08JB002",1930-01-06,"Flow",2.77999997138977,NA
"191","08JB002",1930-01-07,"Flow",2.24000000953674,NA
"192","08JB002",1930-01-08,"Flow",2.24000000953674,NA
"193","08JB002",1930-01-09,"Flow",2.24000000953674,NA
"194","08JB002",1930-01-10,"Flow",2.24000000953674,NA
