"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JC001",1915-07-01,"Flow",NA,NA
"2","08JC001",1915-07-02,"Flow",NA,NA
"3","08JC001",1915-07-03,"Flow",NA,NA
"4","08JC001",1915-07-04,"Flow",NA,NA
"5","08JC001",1915-07-05,"Flow",NA,NA
"6","08JC001",1915-07-06,"Flow",NA,NA
"7","08JC001",1915-07-07,"Flow",NA,NA
"8","08JC001",1915-07-08,"Flow",NA,NA
"9","08JC001",1915-07-09,"Flow",NA,NA
"10","08JC001",1915-07-10,"Flow",NA,NA
"11","08JC001",1915-07-11,"Flow",NA,NA
"12","08JC001",1915-07-12,"Flow",NA,NA
"13","08JC001",1915-07-13,"Flow",NA,NA
"14","08JC001",1915-07-14,"Flow",NA,NA
"15","08JC001",1915-07-15,"Flow",NA,NA
"16","08JC001",1915-07-16,"Flow",NA,NA
"17","08JC001",1915-07-17,"Flow",NA,NA
"18","08JC001",1915-07-18,"Flow",NA,NA
"19","08JC001",1915-07-19,"Flow",NA,NA
"20","08JC001",1915-07-20,"Flow",NA,NA
"21","08JC001",1915-07-21,"Flow",374,NA
"22","08JC001",1915-07-22,"Flow",379,NA
"23","08JC001",1915-07-23,"Flow",379,NA
"24","08JC001",1915-07-24,"Flow",374,NA
"25","08JC001",1915-07-25,"Flow",368,NA
"26","08JC001",1915-07-26,"Flow",362,NA
"27","08JC001",1915-07-27,"Flow",362,NA
"28","08JC001",1915-07-28,"Flow",351,NA
"29","08JC001",1915-07-29,"Flow",345,NA
"30","08JC001",1915-07-30,"Flow",340,NA
"31","08JC001",1915-07-31,"Flow",334,NA
"32","08JC001",1915-08-01,"Flow",328,NA
"33","08JC001",1915-08-02,"Flow",317,NA
"34","08JC001",1915-08-03,"Flow",317,NA
"35","08JC001",1915-08-04,"Flow",314,NA
"36","08JC001",1915-08-05,"Flow",306,NA
"37","08JC001",1915-08-06,"Flow",306,NA
"38","08JC001",1915-08-07,"Flow",300,NA
"39","08JC001",1915-08-08,"Flow",294,NA
"40","08JC001",1915-08-09,"Flow",289,NA
"41","08JC001",1915-08-10,"Flow",286,NA
"42","08JC001",1915-08-11,"Flow",286,NA
"43","08JC001",1915-08-12,"Flow",275,NA
"44","08JC001",1915-08-13,"Flow",270,NA
"45","08JC001",1915-08-14,"Flow",265,NA
"46","08JC001",1915-08-15,"Flow",261,NA
"47","08JC001",1915-08-16,"Flow",256,NA
"48","08JC001",1915-08-17,"Flow",251,NA
"49","08JC001",1915-08-18,"Flow",246,NA
"50","08JC001",1915-08-19,"Flow",241,NA
"51","08JC001",1915-08-20,"Flow",236,NA
"52","08JC001",1915-08-21,"Flow",232,NA
"53","08JC001",1915-08-22,"Flow",227,NA
"54","08JC001",1915-08-23,"Flow",222,NA
"55","08JC001",1915-08-24,"Flow",217,NA
"56","08JC001",1915-08-25,"Flow",217,NA
"57","08JC001",1915-08-26,"Flow",212,NA
"58","08JC001",1915-08-27,"Flow",212,NA
"59","08JC001",1915-08-28,"Flow",208,NA
"60","08JC001",1915-08-29,"Flow",204,NA
"61","08JC001",1915-08-30,"Flow",204,NA
"62","08JC001",1915-08-31,"Flow",200,NA
"63","08JC001",1915-09-01,"Flow",200,NA
"64","08JC001",1915-09-02,"Flow",195,NA
"65","08JC001",1915-09-03,"Flow",191,NA
"66","08JC001",1915-09-04,"Flow",191,NA
"67","08JC001",1915-09-05,"Flow",187,NA
"68","08JC001",1915-09-06,"Flow",187,NA
"69","08JC001",1915-09-07,"Flow",183,NA
"70","08JC001",1915-09-08,"Flow",183,NA
"71","08JC001",1915-09-09,"Flow",178,NA
"72","08JC001",1915-09-10,"Flow",178,NA
"73","08JC001",1915-09-11,"Flow",174,NA
"74","08JC001",1915-09-12,"Flow",174,NA
"75","08JC001",1915-09-13,"Flow",170,NA
"76","08JC001",1915-09-14,"Flow",166,NA
"77","08JC001",1915-09-15,"Flow",166,NA
"78","08JC001",1915-09-16,"Flow",162,NA
"79","08JC001",1915-09-17,"Flow",162,NA
"80","08JC001",1915-09-18,"Flow",158,NA
"81","08JC001",1915-09-19,"Flow",158,NA
"82","08JC001",1915-09-20,"Flow",154,NA
"83","08JC001",1915-09-21,"Flow",154,NA
"84","08JC001",1915-09-22,"Flow",151,NA
"85","08JC001",1915-09-23,"Flow",146,NA
"86","08JC001",1915-09-24,"Flow",146,NA
"87","08JC001",1915-09-25,"Flow",146,NA
"88","08JC001",1915-09-26,"Flow",143,NA
"89","08JC001",1915-09-27,"Flow",143,NA
"90","08JC001",1915-09-28,"Flow",139,NA
"91","08JC001",1915-09-29,"Flow",135,NA
"92","08JC001",1915-09-30,"Flow",135,NA
"93","08JC001",1915-10-01,"Flow",135,NA
"94","08JC001",1915-10-02,"Flow",132,NA
"95","08JC001",1915-10-03,"Flow",132,NA
"96","08JC001",1915-10-04,"Flow",132,NA
"97","08JC001",1915-10-05,"Flow",128,NA
"98","08JC001",1915-10-06,"Flow",128,NA
"99","08JC001",1915-10-07,"Flow",124,NA
"100","08JC001",1915-10-08,"Flow",124,NA
"101","08JC001",1915-10-09,"Flow",121,NA
"102","08JC001",1915-10-10,"Flow",121,NA
"103","08JC001",1915-10-11,"Flow",121,NA
"104","08JC001",1915-10-12,"Flow",121,NA
"105","08JC001",1915-10-13,"Flow",117,NA
"106","08JC001",1915-10-14,"Flow",117,NA
"107","08JC001",1915-10-15,"Flow",117,NA
"108","08JC001",1915-10-16,"Flow",113,NA
"109","08JC001",1915-10-17,"Flow",113,NA
"110","08JC001",1915-10-18,"Flow",110,NA
"111","08JC001",1915-10-19,"Flow",110,NA
"112","08JC001",1915-10-20,"Flow",110,NA
"113","08JC001",1915-10-21,"Flow",106,NA
"114","08JC001",1915-10-22,"Flow",106,NA
"115","08JC001",1915-10-23,"Flow",106,NA
"116","08JC001",1915-10-24,"Flow",106,NA
"117","08JC001",1915-10-25,"Flow",106,NA
"118","08JC001",1915-10-26,"Flow",106,NA
"119","08JC001",1915-10-27,"Flow",110,NA
"120","08JC001",1915-10-28,"Flow",110,NA
"121","08JC001",1915-10-29,"Flow",110,NA
"122","08JC001",1915-10-30,"Flow",113,NA
"123","08JC001",1915-10-31,"Flow",113,NA
"124","08JC001",1915-11-01,"Flow",117,NA
"125","08JC001",1915-11-02,"Flow",117,NA
"126","08JC001",1915-11-03,"Flow",117,NA
"127","08JC001",1915-11-04,"Flow",117,NA
"128","08JC001",1915-11-05,"Flow",121,NA
"129","08JC001",1915-11-06,"Flow",121,NA
"130","08JC001",1915-11-07,"Flow",121,NA
"131","08JC001",1915-11-08,"Flow",121,NA
"132","08JC001",1915-11-09,"Flow",NA,NA
"133","08JC001",1915-11-10,"Flow",NA,NA
"134","08JC001",1915-11-11,"Flow",NA,NA
"135","08JC001",1915-11-12,"Flow",NA,NA
"136","08JC001",1915-11-13,"Flow",NA,NA
"137","08JC001",1915-11-14,"Flow",NA,NA
"138","08JC001",1915-11-15,"Flow",NA,NA
"139","08JC001",1915-11-16,"Flow",NA,NA
"140","08JC001",1915-11-17,"Flow",NA,NA
"141","08JC001",1915-11-18,"Flow",NA,NA
"142","08JC001",1915-11-19,"Flow",NA,NA
"143","08JC001",1915-11-20,"Flow",NA,NA
"144","08JC001",1915-11-21,"Flow",NA,NA
"145","08JC001",1915-11-22,"Flow",NA,NA
"146","08JC001",1915-11-23,"Flow",NA,NA
"147","08JC001",1915-11-24,"Flow",NA,NA
"148","08JC001",1915-11-25,"Flow",NA,NA
"149","08JC001",1915-11-26,"Flow",NA,NA
"150","08JC001",1915-11-27,"Flow",NA,NA
"151","08JC001",1915-11-28,"Flow",NA,NA
"152","08JC001",1915-11-29,"Flow",NA,NA
"153","08JC001",1915-11-30,"Flow",NA,NA
"154","08JC001",1948-08-01,"Flow",NA,NA
"155","08JC001",1948-08-02,"Flow",NA,NA
"156","08JC001",1948-08-03,"Flow",NA,NA
"157","08JC001",1948-08-04,"Flow",NA,NA
"158","08JC001",1948-08-05,"Flow",NA,NA
"159","08JC001",1948-08-06,"Flow",NA,NA
"160","08JC001",1948-08-07,"Flow",NA,NA
"161","08JC001",1948-08-08,"Flow",NA,NA
"162","08JC001",1948-08-09,"Flow",NA,NA
"163","08JC001",1948-08-10,"Flow",NA,NA
"164","08JC001",1948-08-11,"Flow",NA,NA
"165","08JC001",1948-08-12,"Flow",NA,NA
"166","08JC001",1948-08-13,"Flow",NA,NA
"167","08JC001",1948-08-14,"Flow",NA,NA
"168","08JC001",1948-08-15,"Flow",NA,NA
"169","08JC001",1948-08-16,"Flow",NA,NA
"170","08JC001",1948-08-17,"Flow",NA,NA
"171","08JC001",1948-08-18,"Flow",NA,NA
"172","08JC001",1948-08-19,"Flow",NA,NA
"173","08JC001",1948-08-20,"Flow",NA,NA
"174","08JC001",1948-08-21,"Flow",317,NA
"175","08JC001",1948-08-22,"Flow",311,NA
"176","08JC001",1948-08-23,"Flow",309,NA
"177","08JC001",1948-08-24,"Flow",311,NA
"178","08JC001",1948-08-25,"Flow",297,NA
"179","08JC001",1948-08-26,"Flow",289,NA
"180","08JC001",1948-08-27,"Flow",283,NA
"181","08JC001",1948-08-28,"Flow",278,NA
"182","08JC001",1948-08-29,"Flow",275,NA
"183","08JC001",1948-08-30,"Flow",272,NA
"184","08JC001",1948-08-31,"Flow",267,NA
"185","08JC001",1948-09-01,"Flow",260,NA
"186","08JC001",1948-09-02,"Flow",256,NA
"187","08JC001",1948-09-03,"Flow",247,NA
"188","08JC001",1948-09-04,"Flow",244,NA
"189","08JC001",1948-09-05,"Flow",243,NA
"190","08JC001",1948-09-06,"Flow",243,NA
"191","08JC001",1948-09-07,"Flow",244,NA
"192","08JC001",1948-09-08,"Flow",245,NA
"193","08JC001",1948-09-09,"Flow",245,NA
"194","08JC001",1948-09-10,"Flow",245,NA
"195","08JC001",1948-09-11,"Flow",245,NA
"196","08JC001",1948-09-12,"Flow",244,NA
"197","08JC001",1948-09-13,"Flow",243,NA
"198","08JC001",1948-09-14,"Flow",240,NA
"199","08JC001",1948-09-15,"Flow",243,NA
"200","08JC001",1948-09-16,"Flow",248,NA
"201","08JC001",1948-09-17,"Flow",249,NA
"202","08JC001",1948-09-18,"Flow",247,NA
"203","08JC001",1948-09-19,"Flow",244,NA
"204","08JC001",1948-09-20,"Flow",239,NA
"205","08JC001",1948-09-21,"Flow",236,NA
"206","08JC001",1948-09-22,"Flow",232,NA
"207","08JC001",1948-09-23,"Flow",229,NA
"208","08JC001",1948-09-24,"Flow",225,NA
"209","08JC001",1948-09-25,"Flow",222,NA
"210","08JC001",1948-09-26,"Flow",219,NA
"211","08JC001",1948-09-27,"Flow",214,NA
"212","08JC001",1948-09-28,"Flow",211,NA
"213","08JC001",1948-09-29,"Flow",209,NA
"214","08JC001",1948-09-30,"Flow",206,NA
"215","08JC001",1948-10-01,"Flow",202,NA
"216","08JC001",1948-10-02,"Flow",212,NA
"217","08JC001",1948-10-03,"Flow",188,NA
"218","08JC001",1948-10-04,"Flow",195,NA
"219","08JC001",1948-10-05,"Flow",193,NA
"220","08JC001",1948-10-06,"Flow",191,NA
"221","08JC001",1948-10-07,"Flow",189,NA
"222","08JC001",1948-10-08,"Flow",195,NA
"223","08JC001",1948-10-09,"Flow",187,NA
"224","08JC001",1948-10-10,"Flow",183,NA
"225","08JC001",1948-10-11,"Flow",183,NA
"226","08JC001",1948-10-12,"Flow",179,NA
"227","08JC001",1948-10-13,"Flow",179,NA
"228","08JC001",1948-10-14,"Flow",178,NA
"229","08JC001",1948-10-15,"Flow",179,NA
"230","08JC001",1948-10-16,"Flow",180,NA
"231","08JC001",1948-10-17,"Flow",180,NA
"232","08JC001",1948-10-18,"Flow",180,NA
"233","08JC001",1948-10-19,"Flow",179,NA
"234","08JC001",1948-10-20,"Flow",179,NA
"235","08JC001",1948-10-21,"Flow",179,NA
"236","08JC001",1948-10-22,"Flow",180,NA
"237","08JC001",1948-10-23,"Flow",180,NA
"238","08JC001",1948-10-24,"Flow",181,NA
"239","08JC001",1948-10-25,"Flow",180,NA
"240","08JC001",1948-10-26,"Flow",180,NA
"241","08JC001",1948-10-27,"Flow",180,NA
"242","08JC001",1948-10-28,"Flow",179,NA
"243","08JC001",1948-10-29,"Flow",178,NA
"244","08JC001",1948-10-30,"Flow",178,NA
"245","08JC001",1948-10-31,"Flow",177,NA
"246","08JC001",1948-11-01,"Flow",176,NA
"247","08JC001",1948-11-02,"Flow",176,NA
"248","08JC001",1948-11-03,"Flow",172,NA
"249","08JC001",1948-11-04,"Flow",172,NA
"250","08JC001",1948-11-05,"Flow",171,NA
"251","08JC001",1948-11-06,"Flow",170,NA
"252","08JC001",1948-11-07,"Flow",168,NA
"253","08JC001",1948-11-08,"Flow",164,NA
"254","08JC001",1948-11-09,"Flow",164,NA
"255","08JC001",1948-11-10,"Flow",162,NA
"256","08JC001",1948-11-11,"Flow",161,NA
"257","08JC001",1948-11-12,"Flow",159,NA
