"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JD006",1979-10-01,"Flow",NA,NA
"2","08JD006",1979-10-02,"Flow",NA,NA
"3","08JD006",1979-10-03,"Flow",NA,NA
"4","08JD006",1979-10-04,"Flow",NA,NA
"5","08JD006",1979-10-05,"Flow",NA,NA
"6","08JD006",1979-10-06,"Flow",NA,NA
"7","08JD006",1979-10-07,"Flow",NA,NA
"8","08JD006",1979-10-08,"Flow",NA,NA
"9","08JD006",1979-10-09,"Flow",NA,NA
"10","08JD006",1979-10-10,"Flow",NA,NA
"11","08JD006",1979-10-11,"Flow",7.1399998664856,"A"
"12","08JD006",1979-10-12,"Flow",7.23999977111816,"A"
"13","08JD006",1979-10-13,"Flow",7.19999980926514,"E"
"14","08JD006",1979-10-14,"Flow",7,"E"
"15","08JD006",1979-10-15,"Flow",6.75,"E"
"16","08JD006",1979-10-16,"Flow",6.5,"E"
"17","08JD006",1979-10-17,"Flow",6.25,"E"
"18","08JD006",1979-10-18,"Flow",5.84999990463257,"E"
"19","08JD006",1979-10-19,"Flow",5.44999980926514,"E"
"20","08JD006",1979-10-20,"Flow",5.09999990463257,"E"
"21","08JD006",1979-10-21,"Flow",4.75,"E"
"22","08JD006",1979-10-22,"Flow",4.59999990463257,"E"
"23","08JD006",1979-10-23,"Flow",4.55000019073486,"E"
"24","08JD006",1979-10-24,"Flow",4.44999980926514,"E"
"25","08JD006",1979-10-25,"Flow",4.34999990463257,"E"
"26","08JD006",1979-10-26,"Flow",4.15000009536743,"E"
"27","08JD006",1979-10-27,"Flow",4.09999990463257,"E"
"28","08JD006",1979-10-28,"Flow",3.98000001907349,"E"
"29","08JD006",1979-10-29,"Flow",3.79999995231628,"E"
"30","08JD006",1979-10-30,"Flow",3.54999995231628,"E"
"31","08JD006",1979-10-31,"Flow",3.25,"E"
"32","08JD006",1979-11-01,"Flow",2.90000009536743,"B"
"33","08JD006",1979-11-02,"Flow",2.54999995231628,"B"
"34","08JD006",1979-11-03,"Flow",2.29999995231628,"B"
"35","08JD006",1979-11-04,"Flow",2.15000009536743,"B"
"36","08JD006",1979-11-05,"Flow",2.01999998092651,"B"
"37","08JD006",1979-11-06,"Flow",1.91999995708466,"B"
"38","08JD006",1979-11-07,"Flow",1.91999995708466,"B"
"39","08JD006",1979-11-08,"Flow",1.92999994754791,"B"
"40","08JD006",1979-11-09,"Flow",1.97000002861023,"B"
"41","08JD006",1979-11-10,"Flow",1.99000000953674,"B"
"42","08JD006",1979-11-11,"Flow",2,"B"
"43","08JD006",1979-11-12,"Flow",2,"B"
"44","08JD006",1979-11-13,"Flow",1.96000003814697,"B"
"45","08JD006",1979-11-14,"Flow",1.92999994754791,"B"
"46","08JD006",1979-11-15,"Flow",1.89999997615814,"B"
"47","08JD006",1979-11-16,"Flow",1.85000002384186,"B"
"48","08JD006",1979-11-17,"Flow",1.79999995231628,"B"
"49","08JD006",1979-11-18,"Flow",1.76999998092651,"B"
"50","08JD006",1979-11-19,"Flow",1.73000001907349,"B"
"51","08JD006",1979-11-20,"Flow",1.70000004768372,"B"
"52","08JD006",1979-11-21,"Flow",1.64999997615814,"B"
"53","08JD006",1979-11-22,"Flow",1.54999995231628,"B"
"54","08JD006",1979-11-23,"Flow",1.48000001907349,"B"
"55","08JD006",1979-11-24,"Flow",1.47000002861023,"B"
"56","08JD006",1979-11-25,"Flow",1.46000003814697,"B"
"57","08JD006",1979-11-26,"Flow",1.45000004768372,"B"
"58","08JD006",1979-11-27,"Flow",1.42999994754791,"B"
"59","08JD006",1979-11-28,"Flow",1.41999995708466,"B"
"60","08JD006",1979-11-29,"Flow",1.41999995708466,"B"
"61","08JD006",1979-11-30,"Flow",1.4099999666214,"B"
"62","08JD006",1979-12-01,"Flow",1.4099999666214,"B"
"63","08JD006",1979-12-02,"Flow",1.39999997615814,"B"
"64","08JD006",1979-12-03,"Flow",1.39999997615814,"B"
"65","08JD006",1979-12-04,"Flow",1.37000000476837,"B"
