"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08JE001",1929-07-01,"Flow",NA,NA
"2","08JE001",1929-07-02,"Flow",NA,NA
"3","08JE001",1929-07-03,"Flow",NA,NA
"4","08JE001",1929-07-04,"Flow",NA,NA
"5","08JE001",1929-07-05,"Flow",NA,NA
"6","08JE001",1929-07-06,"Flow",NA,NA
"7","08JE001",1929-07-07,"Flow",NA,NA
"8","08JE001",1929-07-08,"Flow",NA,NA
"9","08JE001",1929-07-09,"Flow",NA,NA
"10","08JE001",1929-07-10,"Flow",NA,NA
"11","08JE001",1929-07-11,"Flow",NA,NA
"12","08JE001",1929-07-12,"Flow",NA,NA
"13","08JE001",1929-07-13,"Flow",NA,NA
"14","08JE001",1929-07-14,"Flow",NA,NA
"15","08JE001",1929-07-15,"Flow",NA,NA
"16","08JE001",1929-07-16,"Flow",NA,NA
"17","08JE001",1929-07-17,"Flow",NA,NA
"18","08JE001",1929-07-18,"Flow",NA,NA
"19","08JE001",1929-07-19,"Flow",NA,NA
"20","08JE001",1929-07-20,"Flow",NA,NA
"21","08JE001",1929-07-21,"Flow",NA,NA
"22","08JE001",1929-07-22,"Flow",NA,NA
"23","08JE001",1929-07-23,"Flow",NA,NA
"24","08JE001",1929-07-24,"Flow",NA,NA
"25","08JE001",1929-07-25,"Flow",NA,NA
"26","08JE001",1929-07-26,"Flow",180,NA
"27","08JE001",1929-07-27,"Flow",180,NA
"28","08JE001",1929-07-28,"Flow",180,NA
"29","08JE001",1929-07-29,"Flow",179,NA
"30","08JE001",1929-07-30,"Flow",179,"E"
"31","08JE001",1929-07-31,"Flow",179,NA
"32","08JE001",1929-08-01,"Flow",179,NA
"33","08JE001",1929-08-02,"Flow",179,NA
"34","08JE001",1929-08-03,"Flow",179,NA
"35","08JE001",1929-08-04,"Flow",178,NA
"36","08JE001",1929-08-05,"Flow",177,NA
"37","08JE001",1929-08-06,"Flow",177,NA
"38","08JE001",1929-08-07,"Flow",177,NA
"39","08JE001",1929-08-08,"Flow",178,NA
"40","08JE001",1929-08-09,"Flow",178,NA
"41","08JE001",1929-08-10,"Flow",178,NA
"42","08JE001",1929-08-11,"Flow",178,NA
"43","08JE001",1929-08-12,"Flow",172,NA
"44","08JE001",1929-08-13,"Flow",172,NA
"45","08JE001",1929-08-14,"Flow",165,NA
"46","08JE001",1929-08-15,"Flow",165,NA
"47","08JE001",1929-08-16,"Flow",165,NA
"48","08JE001",1929-08-17,"Flow",178,NA
"49","08JE001",1929-08-18,"Flow",177,NA
"50","08JE001",1929-08-19,"Flow",NA,NA
"51","08JE001",1929-08-20,"Flow",NA,NA
"52","08JE001",1929-08-21,"Flow",NA,NA
"53","08JE001",1929-08-22,"Flow",NA,NA
"54","08JE001",1929-08-23,"Flow",NA,NA
