"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08KB001",1950-05-01,"Flow",623,"E"
"2","08KB001",1950-05-02,"Flow",796,NA
"3","08KB001",1950-05-03,"Flow",1080,NA
"4","08KB001",1950-05-04,"Flow",1100,NA
"5","08KB001",1950-05-05,"Flow",1160,NA
"6","08KB001",1950-05-06,"Flow",1220,NA
"7","08KB001",1950-05-07,"Flow",1230,NA
"8","08KB001",1950-05-08,"Flow",1210,NA
"9","08KB001",1950-05-09,"Flow",1220,NA
"10","08KB001",1950-05-10,"Flow",1350,NA
"11","08KB001",1950-05-11,"Flow",1600,NA
"12","08KB001",1950-05-12,"Flow",1900,NA
"13","08KB001",1950-05-13,"Flow",2310,NA
"14","08KB001",1950-05-14,"Flow",2640,NA
"15","08KB001",1950-05-15,"Flow",2450,NA
"16","08KB001",1950-05-16,"Flow",2210,NA
"17","08KB001",1950-05-17,"Flow",2020,NA
"18","08KB001",1950-05-18,"Flow",1810,NA
"19","08KB001",1950-05-19,"Flow",1660,NA
"20","08KB001",1950-05-20,"Flow",1520,NA
"21","08KB001",1950-05-21,"Flow",1380,NA
"22","08KB001",1950-05-22,"Flow",1380,NA
"23","08KB001",1950-05-23,"Flow",1380,NA
"24","08KB001",1950-05-24,"Flow",1260,NA
"25","08KB001",1950-05-25,"Flow",1160,NA
"26","08KB001",1950-05-26,"Flow",1140,NA
"27","08KB001",1950-05-27,"Flow",1530,NA
"28","08KB001",1950-05-28,"Flow",2290,NA
"29","08KB001",1950-05-29,"Flow",2570,NA
"30","08KB001",1950-05-30,"Flow",2020,NA
"31","08KB001",1950-05-31,"Flow",1740,NA
"32","08KB001",1950-06-01,"Flow",1520,NA
"33","08KB001",1950-06-02,"Flow",1390,NA
"34","08KB001",1950-06-03,"Flow",1350,NA
"35","08KB001",1950-06-04,"Flow",1460,NA
"36","08KB001",1950-06-05,"Flow",1740,NA
"37","08KB001",1950-06-06,"Flow",2150,NA
"38","08KB001",1950-06-07,"Flow",2240,NA
"39","08KB001",1950-06-08,"Flow",2110,NA
"40","08KB001",1950-06-09,"Flow",2030,NA
"41","08KB001",1950-06-10,"Flow",2080,NA
"42","08KB001",1950-06-11,"Flow",2380,NA
"43","08KB001",1950-06-12,"Flow",2630,NA
"44","08KB001",1950-06-13,"Flow",2890,NA
"45","08KB001",1950-06-14,"Flow",3140,NA
"46","08KB001",1950-06-15,"Flow",3430,NA
"47","08KB001",1950-06-16,"Flow",3620,NA
"48","08KB001",1950-06-17,"Flow",3710,NA
"49","08KB001",1950-06-18,"Flow",3680,NA
"50","08KB001",1950-06-19,"Flow",3680,NA
"51","08KB001",1950-06-20,"Flow",3680,NA
"52","08KB001",1950-06-21,"Flow",3680,NA
"53","08KB001",1950-06-22,"Flow",3680,NA
"54","08KB001",1950-06-23,"Flow",3480,NA
"55","08KB001",1950-06-24,"Flow",3260,NA
"56","08KB001",1950-06-25,"Flow",2760,NA
"57","08KB001",1950-06-26,"Flow",2360,NA
"58","08KB001",1950-06-27,"Flow",2130,NA
"59","08KB001",1950-06-28,"Flow",2040,NA
"60","08KB001",1950-06-29,"Flow",2020,NA
"61","08KB001",1950-06-30,"Flow",2130,NA
"62","08KB001",1950-07-01,"Flow",2330,NA
"63","08KB001",1950-07-02,"Flow",2330,NA
"64","08KB001",1950-07-03,"Flow",2220,NA
"65","08KB001",1950-07-04,"Flow",2070,NA
"66","08KB001",1950-07-05,"Flow",1960,NA
"67","08KB001",1950-07-06,"Flow",1980,NA
"68","08KB001",1950-07-07,"Flow",2020,NA
"69","08KB001",1950-07-08,"Flow",1990,NA
"70","08KB001",1950-07-09,"Flow",1800,NA
"71","08KB001",1950-07-10,"Flow",1650,NA
"72","08KB001",1950-07-11,"Flow",1600,NA
"73","08KB001",1950-07-12,"Flow",1530,NA
