"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08KC001",1953-04-01,"Flow",7.92999982833862,"E"
"2","08KC001",1953-04-02,"Flow",8.01000022888184,"E"
"3","08KC001",1953-04-03,"Flow",8.10000038146973,"E"
"4","08KC001",1953-04-04,"Flow",8.18000030517578,"E"
"5","08KC001",1953-04-05,"Flow",8.27000045776367,"E"
"6","08KC001",1953-04-06,"Flow",8.35000038146973,"E"
"7","08KC001",1953-04-07,"Flow",8.5,"E"
"8","08KC001",1953-04-08,"Flow",8.21000003814697,"E"
"9","08KC001",1953-04-09,"Flow",6.80000019073486,"E"
"10","08KC001",1953-04-10,"Flow",8.92000007629395,"E"
"11","08KC001",1953-04-11,"Flow",9.0600004196167,"E"
"12","08KC001",1953-04-12,"Flow",9.0600004196167,"E"
"13","08KC001",1953-04-13,"Flow",9.19999980926514,"E"
"14","08KC001",1953-04-14,"Flow",8.27000045776367,NA
"15","08KC001",1953-04-15,"Flow",8.77999973297119,NA
"16","08KC001",1953-04-16,"Flow",9.22999954223633,NA
"17","08KC001",1953-04-17,"Flow",7.86999988555908,NA
"18","08KC001",1953-04-18,"Flow",8.57999992370605,NA
"19","08KC001",1953-04-19,"Flow",8.27000045776367,NA
"20","08KC001",1953-04-20,"Flow",10.3000001907349,NA
"21","08KC001",1953-04-21,"Flow",11.8999996185303,NA
"22","08KC001",1953-04-22,"Flow",15.1000003814697,NA
"23","08KC001",1953-04-23,"Flow",20,NA
"24","08KC001",1953-04-24,"Flow",19.2000007629395,NA
"25","08KC001",1953-04-25,"Flow",24.5,NA
"26","08KC001",1953-04-26,"Flow",24.5,NA
"27","08KC001",1953-04-27,"Flow",47,NA
"28","08KC001",1953-04-28,"Flow",64.8000030517578,NA
"29","08KC001",1953-04-29,"Flow",95.0999984741211,NA
"30","08KC001",1953-04-30,"Flow",109,NA
"31","08KC001",1953-05-01,"Flow",122,NA
"32","08KC001",1953-05-02,"Flow",127,NA
"33","08KC001",1953-05-03,"Flow",136,"E"
"34","08KC001",1953-05-04,"Flow",145,"E"
"35","08KC001",1953-05-05,"Flow",154,"E"
"36","08KC001",1953-05-06,"Flow",163,NA
"37","08KC001",1953-05-07,"Flow",172,NA
"38","08KC001",1953-05-08,"Flow",183,NA
"39","08KC001",1953-05-09,"Flow",193,NA
"40","08KC001",1953-05-10,"Flow",192,NA
"41","08KC001",1953-05-11,"Flow",192,NA
"42","08KC001",1953-05-12,"Flow",183,NA
"43","08KC001",1953-05-13,"Flow",173,NA
"44","08KC001",1953-05-14,"Flow",175,NA
"45","08KC001",1953-05-15,"Flow",154,NA
"46","08KC001",1953-05-16,"Flow",149,NA
"47","08KC001",1953-05-17,"Flow",142,NA
"48","08KC001",1953-05-18,"Flow",130,NA
"49","08KC001",1953-05-19,"Flow",121,NA
"50","08KC001",1953-05-20,"Flow",120,NA
"51","08KC001",1953-05-21,"Flow",117,NA
"52","08KC001",1953-05-22,"Flow",110,NA
"53","08KC001",1953-05-23,"Flow",108,NA
"54","08KC001",1953-05-24,"Flow",106,NA
"55","08KC001",1953-05-25,"Flow",106,NA
"56","08KC001",1953-05-26,"Flow",97.0999984741211,NA
"57","08KC001",1953-05-27,"Flow",91.5,NA
"58","08KC001",1953-05-28,"Flow",88.0999984741211,NA
"59","08KC001",1953-05-29,"Flow",75.9000015258789,NA
"60","08KC001",1953-05-30,"Flow",67.6999969482422,NA
"61","08KC001",1953-05-31,"Flow",61.2000007629395,NA
"62","08KC001",1953-06-01,"Flow",54.9000015258789,NA
"63","08KC001",1953-06-02,"Flow",49.5999984741211,NA
"64","08KC001",1953-06-03,"Flow",46.4000015258789,NA
"65","08KC001",1953-06-04,"Flow",43,NA
"66","08KC001",1953-06-05,"Flow",42.7999992370605,NA
"67","08KC001",1953-06-06,"Flow",39.9000015258789,NA
"68","08KC001",1953-06-07,"Flow",39.9000015258789,NA
"69","08KC001",1953-06-08,"Flow",38.7999992370605,NA
"70","08KC001",1953-06-09,"Flow",34.5,NA
"71","08KC001",1953-06-10,"Flow",33.4000015258789,NA
"72","08KC001",1953-06-11,"Flow",33.4000015258789,NA
"73","08KC001",1953-06-12,"Flow",29.3999996185303,NA
"74","08KC001",1953-06-13,"Flow",27.2000007629395,NA
"75","08KC001",1953-06-14,"Flow",23.2000007629395,NA
"76","08KC001",1953-06-15,"Flow",23.7000007629395,NA
"77","08KC001",1953-06-16,"Flow",21.8999996185303,NA
"78","08KC001",1953-06-17,"Flow",21,NA
"79","08KC001",1953-06-18,"Flow",19.6000003814697,NA
"80","08KC001",1953-06-19,"Flow",16.7999992370605,NA
"81","08KC001",1953-06-20,"Flow",16.3999996185303,NA
"82","08KC001",1953-06-21,"Flow",16.3999996185303,NA
"83","08KC001",1953-06-22,"Flow",17.7999992370605,NA
"84","08KC001",1953-06-23,"Flow",17.7999992370605,NA
"85","08KC001",1953-06-24,"Flow",19.6000003814697,NA
"86","08KC001",1953-06-25,"Flow",19.6000003814697,NA
"87","08KC001",1953-06-26,"Flow",21.3999996185303,NA
"88","08KC001",1953-06-27,"Flow",24.5,NA
"89","08KC001",1953-06-28,"Flow",31.3999996185303,NA
"90","08KC001",1953-06-29,"Flow",35.7000007629395,NA
"91","08KC001",1953-06-30,"Flow",34.5,NA
"92","08KC001",1953-07-01,"Flow",34.7999992370605,NA
"93","08KC001",1953-07-02,"Flow",36.2000007629395,NA
"94","08KC001",1953-07-03,"Flow",37.7000007629395,NA
"95","08KC001",1953-07-04,"Flow",36,NA
"96","08KC001",1953-07-05,"Flow",34.5,NA
"97","08KC001",1953-07-06,"Flow",32.7999992370605,NA
"98","08KC001",1953-07-07,"Flow",29.3999996185303,NA
"99","08KC001",1953-07-08,"Flow",24.5,NA
"100","08KC001",1953-07-09,"Flow",21.3999996185303,NA
"101","08KC001",1953-07-10,"Flow",21.3999996185303,NA
"102","08KC001",1953-07-11,"Flow",20.2000007629395,NA
"103","08KC001",1953-07-12,"Flow",18.6000003814697,"E"
"104","08KC001",1953-07-13,"Flow",17.1000003814697,NA
"105","08KC001",1953-07-14,"Flow",15.6000003814697,NA
"106","08KC001",1953-07-15,"Flow",14.6000003814697,NA
"107","08KC001",1953-07-16,"Flow",14.3999996185303,NA
"108","08KC001",1953-07-17,"Flow",14.6000003814697,NA
"109","08KC001",1953-07-18,"Flow",14.6000003814697,NA
"110","08KC001",1953-07-19,"Flow",13.8999996185303,NA
"111","08KC001",1953-07-20,"Flow",13.1999998092651,NA
"112","08KC001",1953-07-21,"Flow",12.5,NA
"113","08KC001",1953-07-22,"Flow",11.8999996185303,NA
"114","08KC001",1953-07-23,"Flow",11.1999998092651,NA
"115","08KC001",1953-07-24,"Flow",11.1999998092651,NA
"116","08KC001",1953-07-25,"Flow",11.1999998092651,NA
"117","08KC001",1953-07-26,"Flow",11.5,NA
"118","08KC001",1953-07-27,"Flow",11.8000001907349,NA
"119","08KC001",1953-07-28,"Flow",12.1999998092651,NA
"120","08KC001",1953-07-29,"Flow",11.8999996185303,NA
"121","08KC001",1953-07-30,"Flow",11.1999998092651,NA
"122","08KC001",1953-07-31,"Flow",10.8000001907349,NA
"123","08KC001",1953-08-01,"Flow",10.6000003814697,NA
