"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"1","08KD006",1976-01-01,"Flow",16.1000003814697,"B"
"2","08KD006",1976-01-02,"Flow",15.6999998092651,"B"
"3","08KD006",1976-01-03,"Flow",15.1000003814697,"B"
"4","08KD006",1976-01-04,"Flow",15,"B"
"5","08KD006",1976-01-05,"Flow",14.6999998092651,"B"
"6","08KD006",1976-01-06,"Flow",14.3999996185303,"B"
"7","08KD006",1976-01-07,"Flow",14.3000001907349,"B"
"8","08KD006",1976-01-08,"Flow",14.1999998092651,"B"
"9","08KD006",1976-01-09,"Flow",13.6999998092651,"B"
"10","08KD006",1976-01-10,"Flow",13.5,"B"
"11","08KD006",1976-01-11,"Flow",13.1999998092651,"B"
"12","08KD006",1976-01-12,"Flow",12.6999998092651,"B"
"13","08KD006",1976-01-13,"Flow",12.6000003814697,"B"
"14","08KD006",1976-01-14,"Flow",12.6000003814697,"B"
"15","08KD006",1976-01-15,"Flow",12.5,"B"
"16","08KD006",1976-01-16,"Flow",12.5,"B"
"17","08KD006",1976-01-17,"Flow",12.5,"B"
"18","08KD006",1976-01-18,"Flow",12.5,"B"
"19","08KD006",1976-01-19,"Flow",12.5,"B"
"20","08KD006",1976-01-20,"Flow",12.5,"B"
"21","08KD006",1976-01-21,"Flow",12.5,"B"
"22","08KD006",1976-01-22,"Flow",12.5,"B"
"23","08KD006",1976-01-23,"Flow",12.5,"B"
"24","08KD006",1976-01-24,"Flow",12.5,"B"
"25","08KD006",1976-01-25,"Flow",12.5,"B"
"26","08KD006",1976-01-26,"Flow",12.5,"B"
"27","08KD006",1976-01-27,"Flow",12.3000001907349,"B"
"28","08KD006",1976-01-28,"Flow",12.3000001907349,"B"
"29","08KD006",1976-01-29,"Flow",12.3000001907349,"B"
"30","08KD006",1976-01-30,"Flow",12.3000001907349,"B"
"31","08KD006",1976-01-31,"Flow",12.3000001907349,"B"
"32","08KD006",1976-02-01,"Flow",12.3000001907349,"B"
"33","08KD006",1976-02-02,"Flow",12.3000001907349,"B"
"34","08KD006",1976-02-03,"Flow",12.3000001907349,"B"
"35","08KD006",1976-02-04,"Flow",12.1999998092651,"B"
"36","08KD006",1976-02-05,"Flow",12.1999998092651,"B"
"37","08KD006",1976-02-06,"Flow",12.1999998092651,"B"
"38","08KD006",1976-02-07,"Flow",12.1999998092651,"B"
"39","08KD006",1976-02-08,"Flow",12.3000001907349,"B"
